run_id,nose_frac,nose_power,tail_frac,backlight_deg,boattail_deg,frontal_area_m2,stl_file,Cd,Cl,drag_N,lift_N
run_067,0.15731,2.60219,0.26724,24.35740,14.01068,0.10484,geometries/run_067.stl,0.14940,-0.00978,8.6342,-0.5653
run_068,0.25644,3.23002,0.24833,18.83465,0.03623,0.10484,geometries/run_068.stl,0.23400,0.13755,13.5235,7.9496
run_069,0.17201,3.54279,0.28072,5.50207,15.48416,0.10484,geometries/run_069.stl,0.13729,-0.21764,7.9342,-12.5779
run_070,0.27064,1.72560,0.16341,26.13074,4.92234,0.10484,geometries/run_070.stl,0.21973,0.17555,12.6987,10.1458
run_071,0.28080,1.98408,0.38583,18.43913,10.56673,0.10484,geometries/run_071.stl,0.08890,-0.04574,5.1376,-2.6437
run_072,0.19345,3.47667,0.32892,11.85673,4.72369,0.10484,geometries/run_072.stl,0.18707,-0.03831,10.8111,-2.2140
run_073,0.23097,1.87970,0.30693,21.59716,8.68361,0.10484,geometries/run_073.stl,0.13101,0.04498,7.5714,2.5994
run_074,0.28706,1.76520,0.33257,6.60116,7.47373,0.10484,geometries/run_074.stl,0.12732,-0.11013,7.3581,-6.3650
run_075,0.31809,3.68883,0.24492,10.12848,16.87839,0.10484,geometries/run_075.stl,0.10357,-0.14887,5.9858,-8.6039
run_076,0.18908,3.02216,0.25462,22.60846,3.93727,0.10484,geometries/run_076.stl,0.20384,0.12566,11.7807,7.2624
run_077,0.33669,2.38088,0.20635,22.05865,4.35824,0.10484,geometries/run_077.stl,0.20084,0.14909,11.6071,8.6163
run_078,0.22894,1.68496,0.32586,10.27373,19.49795,0.10484,geometries/run_078.stl,0.08173,-0.17630,4.7236,-10.1888
run_079,0.34758,2.56614,0.35563,8.44614,19.59295,0.10484,geometries/run_079.stl,0.06037,-0.18984,3.4887,-10.9714
run_080,0.20450,3.10587,0.20462,21.22696,10.00049,0.10484,geometries/run_080.stl,0.18426,0.04860,10.6488,2.8090
run_081,0.27853,3.84825,0.15451,24.76950,18.50015,0.10484,geometries/run_081.stl,0.22031,0.10537,12.7325,6.0894
run_082,0.19556,1.52812,0.34148,16.47978,3.82850,0.10484,geometries/run_082.stl,0.17794,0.03937,10.2835,2.2751
run_083,0.15627,1.95535,0.27755,23.91704,10.84823,0.10484,geometries/run_083.stl,0.15735,0.02950,9.0938,1.7047
run_084,0.27724,2.02008,0.26457,8.94757,19.06568,0.10484,geometries/run_084.stl,0.08687,-0.17015,5.0207,-9.8336
